,ID,post_id,post_title,post_excerpt,post_content_filtered,post_content,post_name,post_parent,permalink,guid,each_description,case_description,ad_copy_text,ItemId,ItemIdText,StoreLocationId,ProductName,BrandName,BrandNameClean,BrandNameLower,Description,FullText,Price,SalePrice,UPCs,SubCategoryName,CategoryName,DepartmentName,DisableOrdering,OnSale,Featured,StorageDescription,ProductSize,UnitOfMeasure,SellUnit,total_popularity,trending_popularity,ProductFacets,score,terms.brand,terms
15,7665311820,108329,Romaine Lettuce Hearts,,"<p>Lettuce, Romaine Hearts, Fresh, 3 Ct Bag</p>","<p>Lettuce, Romaine Hearts, Fresh, 3 Ct Bag</p>",766531,0,https://gfsstore.com/products/766531/,https://gfsstore.com/products/766531/,,,"<p>Lettuce, Romaine Hearts, Fresh, 3 Ct Bag</p>","['7665311', '766531']",7665311|766531,182,Romaine Lettuce Hearts,,,,"Lettuce, Romaine Hearts, Fresh, 3 Ct Bag","Romaine Lettuce Hearts  Fresh Vegetables Lettuce, Romaine Hearts, Fresh, 3 Ct Bag",3.49,,"['000651003214', '003338365162', '027918205242', '030223041320', '030746000019', '03338365162', '033383651620', '033383904337', '060556900001', '071430009697', '071430009840', '071430009864', '072668601004', '073150184654', '073574002503', '400076653115', '652953651626', '716519080005', '765321651620', '858959004927', '860401000487', '893318002015', '898634001162']",FRESH LETTUCE & SALAD GREENS,Fresh Vegetables,Produce,,,,Cooler,1,EA,Bag,1,253,"[{'facet_name': 'Vegetables', 'facet_value': 'Leafy Greens', 'facet_term_id': 1078}]",,,[]
16,7324511820,16860,Bite-Sized Broccoli Florets,,"<p>Broccoli Florets, Bite-Size, Fresh Cut, 3 Lb Bag</p>","<p>Broccoli Florets, Bite-Size, Fresh Cut, 3 Lb Bag</p>",732451,0,https://gfsstore.com/products/732451/,https://gfsstore.com/products/732451/,,,"<p>Broccoli Florets, Bite-Size, Fresh Cut, 3 Lb Bag</p>","['7324511', '732451']",7324511|732451,182,Bite-Sized Broccoli Florets,Ready-Set-Serve,Ready-Set-Serve,ready-set-serve,"Broccoli Florets, Bite-Size, Fresh Cut, 3 Lb Bag","Bite-Sized Broccoli Florets Ready-Set-Serve Ready-to-Use Vegetables Broccoli Florets, Bite-Size, Fresh Cut, 3 Lb Bag",9.79,,"['092538000485', '400073245115', '611628915906']",VALUE-ADD BROCCOLI & CAULIFLOWER,Ready-to-Use Vegetables,Produce,,,,Cooler,48,OZ,Bag,7,246,"[{'facet_name': 'Vegetables', 'facet_value': 'Broccoli', 'facet_term_id': 1151}]",,"[{'term_id': 50, 'slug': 'markon-ready-set-serve', 'name': 'Markon Ready Set Serve', 'parent': 0, 'term_taxonomy_id': 50}]",
17,4988301820,48158,Idaho Russet Potatoes,,"<p>Potatoes, Idaho, Fresh, 5 Lb Bag</p>","<p>Potatoes, Idaho, Fresh, 5 Lb Bag</p>",498830,0,https://gfsstore.com/products/498830/,https://gfsstore.com/products/498830/,,,"<p>Potatoes, Idaho, Fresh, 5 Lb Bag</p>","['4988301', '498830']",4988301|498830,182,Idaho Russet Potatoes,,,,"Potatoes, Idaho, Fresh, 5 Lb Bag","Idaho Russet Potatoes  Fresh Vegetables Potatoes, Idaho, Fresh, 5 Lb Bag",3.99,,"['033383530109', '033383536101', '400049883013', '605806001284', '605806001390', '850027119014']",FRESH POTATOES,Fresh Vegetables,Produce,,,,Dry,80,OZ,Bag,2,246,"[{'facet_name': 'Vegetables', 'facet_value': 'Potatoes', 'facet_term_id': 1128}]",,,[]
18,6754231820,84624,Green Pepper,,"<p>Peppers, Green, Fresh</p>","<p>Peppers, Green, Fresh</p>",675423,0,https://gfsstore.com/products/675423/,https://gfsstore.com/products/675423/,,,"<p>Peppers, Green, Fresh</p>","['6754231', '675423']",6754231|675423,182,Green Pepper,,,,"<p>Peppers, Green, Fresh</p>","Green Pepper  Fresh Vegetables <p>Peppers, Green, Fresh</p>",0.79,,['400067542312'],FRESH PEPPERS,Fresh Vegetables,Produce,,,,Cooler,1,EA,Each,5,239,"[{'facet_name': 'Vegetables', 'facet_value': 'Peppers', 'facet_term_id': 1116}]",,,[]
19,7815921820,17564,Celery Sticks,,"<p>Celery Sticks, Fresh Cut, 3 Lb Bag</p>","<p>Celery Sticks, Fresh Cut, 3 Lb Bag</p>",781592,0,https://gfsstore.com/?post_type=product&#038;p=17564,https://gfsstore.com/?post_type=product&#038;p=17564,,,"<p>Celery Sticks, Fresh Cut, 3 Lb Bag</p>","['7815921', '781592']",7815921|781592,182,Celery Sticks,Ready-Set-Serve,Ready-Set-Serve,ready-set-serve,"Celery Sticks, Fresh Cut, 3 Lb Bag","Celery Sticks Ready-Set-Serve Ready-to-Use Vegetables Celery Sticks, Fresh Cut, 3 Lb Bag",8.99,,"['074000781597', '093901781598', '400078159219', '611628916743', '611628916828']",VALUE-ADD CELERY,Ready-to-Use Vegetables,Produce,,,,Cooler,79.5,EA,Bag,659,220,"[{'facet_name': 'Vegetables', 'facet_value': 'Celery', 'facet_term_id': 1018}]",,"[{'term_id': 50, 'slug': 'markon-ready-set-serve', 'name': 'Markon Ready Set Serve', 'parent': 0, 'term_taxonomy_id': 50}]",
20,7664711820,108651,Seedless Cucumbers,,"<p>Cucumbers, Seedless, Fresh</p>","<p>Cucumbers, Seedless, Fresh</p>",766471,0,https://gfsstore.com/products/766471/,https://gfsstore.com/products/766471/,,,"<p>Cucumbers, Seedless, Fresh</p>","['7664711', '766471']",7664711|766471,182,Seedless Cucumbers,,,,"Cucumbers, Seedless, Fresh","Seedless Cucumbers  Fresh Vegetables Cucumbers, Seedless, Fresh",1.49,,"['033383671000', '033383671017', '400076647114']",FRESH GOURDS,Fresh Vegetables,Produce,,,,Cooler,1,EA,Each,1,217,"[{'facet_name': 'Vegetables', 'facet_value': 'Cucumbers', 'facet_term_id': 1077}]",,,[]
21,7681461820,28575,Petite-Cut Carrots,,"<p>Carrots, Baby Whole Petite, Reclosable, Fresh, 5 Lb Bag</p>","<p>Carrots, Baby Whole Petite, Reclosable, Fresh, 5 Lb Bag</p>",768146,0,https://gfsstore.com/?post_type=product&#038;p=28575,https://gfsstore.com/?post_type=product&#038;p=28575,,,"<p>Carrots, Baby Whole Petite, Reclosable, Fresh, 5 Lb Bag</p>","['7681461', '768146']",7681461|768146,182,Petite-Cut Carrots,Ready-Set-Serve,Ready-Set-Serve,ready-set-serve,"Carrots, Baby Whole Petite, Reclosable, Fresh, 5 Lb Bag","Petite-Cut Carrots Ready-Set-Serve Ready-to-Use Vegetables Carrots, Baby Whole Petite, Reclosable, Fresh, 5 Lb Bag",8.99,,"['033383666082', '071464122492', '400076814615', '611628916446']",VALUE-ADD CARROTS,Ready-to-Use Vegetables,Produce,,,,Cooler,80,OZ,Bag,1,209,"[{'facet_name': 'Vegetables', 'facet_value': 'Carrots', 'facet_term_id': 1017}]",,,[]
22,7617641820,53533,Red Onion,,"<p>Onions, Red, Fresh, 2 Lb Bag</p>","<p>Onions, Red, Fresh, 2 Lb Bag</p>",761764,0,https://gfsstore.com/products/761764/,https://gfsstore.com/products/761764/,,,"<p>Onions, Red, Fresh, 2 Lb Bag</p>","['7617641', '761764']",7617641|761764,182,Red Onion,,,,"Onions, Red, Fresh, 2 Lb Bag","Red Onion  Fresh Vegetables Onions, Red, Fresh, 2 Lb Bag",2.99,,"['000383601030', '033383601014', '400076176416', '884853630245']",FRESH ONIONS,Fresh Vegetables,Produce,,,,Cooler,32,OZ,Bag,529,208,"[{'facet_name': 'Vegetables', 'facet_value': 'Onions', 'facet_term_id': 1107}]",,,[]
23,3442531820,44770,Green Seedless Grapes,,"<p>Grapes, Green, Seedless, Fresh, 18 Lb Bag</p>","<p>Grapes, Green, Seedless, Fresh, 18 Lb Bag</p>",344253,0,https://gfsstore.com/products/344253/,https://gfsstore.com/products/344253/,,,"<p>Grapes, Green, Seedless, Fresh, 18 Lb Bag</p>","['3442531', '344253']",3442531|344253,182,Green Seedless Grapes,Rucaray,Rucaray,rucaray,"<p>Grapes, Green, Seedless, Fresh</p>","Green Seedless Grapes Rucaray Fresh Fruit <p>Grapes, Green, Seedless, Fresh</p>",2.99,,"['014668790012', '052901040227', '083477044982', '400034425310', '7754638000422', '814563011171', '816426013872', '850017667143', '850859002560', '854203001049', '869225000222', '895359002917', '899734002370']",FRESH GRAPES,Fresh Fruit,Produce,,,,Cooler,32,OZ,Bag,652,201,"[{'facet_name': 'Fruits', 'facet_value': 'Grapes', 'facet_term_id': 1024}]",,,[]
24,7149421820,52595,Sweet Onion,,"<p>Onions, Sweet, Fresh, 40 Lb Each</p>","<p>Onions, Sweet, Fresh, 40 Lb Each</p>",714942,0,https://gfsstore.com/products/714942/,https://gfsstore.com/products/714942/,,,"<p>Onions, Sweet, Fresh, 40 Lb Each</p>","['7149421', '714942']",7149421|714942,182,Sweet Onion,Vidalias,Vidalias,vidalias,"<p>Onions, Sweet, Fresh, Approximately 1Lb each</p>","Sweet Onion Vidalias Fresh Vegetables <p>Onions, Sweet, Fresh, Approximately 1Lb each</p>",1.39,,['400071494218'],FRESH ONIONS,Fresh Vegetables,Produce,,,,Cooler,16,OZ,Each,7,178,"[{'facet_name': 'Vegetables', 'facet_value': 'Onions', 'facet_term_id': 1107}]",,,[]
